Link to HLAS Catalog,Author,Country of Origin,English Title,Translator,City where book was published,Name of Publisher,Year book was published,Annotations about translation
https://lccn.loc.gov/bi95011948,"Taibo, Paco Ignacio ",Spain,Four hands ,Laura C  Dail ,New York,St. Martin's Press ,1994,"In {lcub}Cuatro manos{rcub} (Managua: Editorial Vanguardia, 1990), Taibo's protagonist, like Taibo himself, presents a translator with two main challenges. One, a highly idiomatic, journalistic prose, Dail has met well. The other, which she has met far less successfully, is a narrative sprinkled with instances of ""lingusitic imperialism,"" in which English turns up frequently and significantly in the Spanish. The omission of Taibo's brief author's note in the original is regrettable. [CM]"
https://lccn.loc.gov/bi95011919,"Taibo, Paco Ignacio ",Spain,Life itself ,Beth Henson ,New York,Mysterious Press ,1994,"Translation of {La vida misma} (México: Planeta, 1987), an entertaining work by the well-known writer of detective novels. Author combines political satire of Mexico's government with a plot involving a writer much like himself. Henson's deft translation successfully communicates the Mexican context, aided by author's explanatory notes directed to the non-Mexican reader. [KR]"
https://lccn.loc.gov/bi95011909,"Urzagasti, Jesús ",Bolivia,In the land of silence ,Kay Pritchett ,Fayetteville ,Univ. of Arkansas Press ,1994,"Pritchett briefly introduces her competent rendition of {En el país del silencio} (La Paz: Hisbol, 1987), a work cast in three alternating narrative personae. However, the obtuse denseness of the original style sorely tries the reader's endurance of such heavy prose by this Bolivian author from the Gran Chaco region. [MA]"
https://lccn.loc.gov/bi96013521,"Bombal, María Luisa ",Chile,House of mist [and] The shrouded woman:two novels ,Naomi Lindstrom ,Austin,Univ. of Texas Press ,1995,"Important re-publication of two innovative novels about women's experiences by the Chilean writer, whose English version (see {HLAS 14:2741}) of {La última niebla} (Santiago?: 1935) contains significant revisions and entirely new segments. Her own translation (see {HLAS 14:2843}) of {La amortajada} (see {HLAS 4:3939}) is adequate, although ""faintly old-fashioned"" ({Chicago Tribune}). Lindstrom supplies welcome context.  [MA]"
https://lccn.loc.gov/bi96013523,"Domecq, Brianda ",United States,Eleven days ,Kay S  García ,Albuquerque,Univ. of New Mexico Press ,1995,"{Once días, y algo más} (Xalapa, Mexico: UV Editorial, 1979), a semi-fictional account of the Mexican author's own 1978 kidnapping, provides an absorbing story with a view of different sectors of Mexico City society. García's translation neutralizes or Anglicizes many cultural aspects of the text, and introductory material other than cover notes is lacking. [KR]"
https://lccn.loc.gov/bi2001001788,"Eltit, Diamela ",Chile,The fourth world ,Dick Gerdes ,Lincoln ,Univ. of Nebraska Press ,1995,"Gerdes' brief but informative introduction makes clear that he has been a sensitive reader of {lcub}El cuarto mundo.{rcub} The two narrators, although twins - one male, one female, tell different tales and use language very differently. Translation is competent, but Gerdes' own language lacks the dynamic energy of Eltit's, perhaps because he follows the Spanish structures so closely. [CM]"
https://lccn.loc.gov/bi97010643,"Eltit, Diamela ",Chile,Sacred cow ,Amanda Hopkinson ,London,Serpent's Tail ,1995,"Eltit's {lcub}Vaca sagrada{rcub} (see {lcub}HLAS 54:4047{rcub}), an intense narrative of erotic desire set against the backdrop of political repression in Chile, treats themes of sexual violence, power relationships, the domination of women, and female fantasy.  Well  Hopkinson. However, this first translation of an Eltit novel includes no locating materials beyond a very short author's biography on the back flap. [KR]"
https://lccn.loc.gov/bi97009398,"Fuentes, Carlos ",Mexico,"Diana, the goddess who hunts alone ",Alfred J  Mac Adam,New York,Farrar  Straus  and Giroux ,1995,"Fuentes' novel (see {lcub}HLAS 56:3488{rcub}) recounts a 1970 love affair between a Mexican writer and a North American movie actress against the backdrop of FBI political repression and its brutal consequences. Reflections on sex, love, literature, Latin and North American culture, and Cold War politics. Excellent translation by Mac Adam. No supporting materials. [KR]"
https://lccn.loc.gov/bi96013559,"García Márquez, Gabriel ",Colombia,Of love and other demons ,Edith Grossman,New York,Alfred A. Knopf ,1995,"Grossman accomplishes excellent translation of {Del amor y otros demonios} (see item #bi 95001053#) , author's latest work. Short novel based on a legend of Colombia's coastal region regarding 18th-century aristocrats is told in masterful Marquesian style. Translation handles cultural details such as the patois of slaves with aplomb. [KR]"
https://lccn.loc.gov/bi96013688,"García Ramis, Magali ",Puerto Rico,"Happy days, Uncle Sergio ",Carmen C  Esteves ,Fredonia,White Pine Press ,1995,"In her afterword, Esteves situates {Felices días, Tío Sergio} (see {HLAS 50:3219}) in recent Puerto Rican ""historical discourse,"" a term that also suggests her own approach as a translator. She has paid close attention to historical context and spoken language, endeavoring to make them both accessible and spontaneous in English. Afterword hovers uneasily between undergraduate needs and those of the general reader, but the translation is more successful. [CM]"
https://lccn.loc.gov/bi97009399,"Güiraldes, Ricardo ",Argentina,Don Segundo Sombra ,Patricia Owen Steiner ,Pittsburgh ,Univ. of Pittsburgh Press ,1995,"New translation of 1926 Argentine classic, accompanied by extensive critical materials. Seven essays by scholars including Gwen Kirkpatrick and Beatriz Sarlo treat historical, literary, and biographical topics. Steiner discusses novel's setting, writing, and reception, but does not reflect on translation process itself nor on differences between this work and 1935 version by Harriet De Onís (see {HLAS 1:2119}). Glossary and bibliography. Valuable teaching tool. [KR]"
https://lccn.loc.gov/bi97013487,"Moyano, Daniel ",Argentina,The flight of the tiger ,Norman Thomas di Giovanni,London,Serpent's Tail ,1995,"{lcub}El vuelo del tigre{rcub} (1981?), an allegorical, satirical novel by the Argentine Moyano, recounts the militaristic takeover of an Andean village. Bizarre, often surreal plot; oppressors are percussionists, villagers resist through music. Useful translator's afterword sets work in political and historical context of Argentina's Dirty War. Skillful, knowledgeable translation. [KR]"
https://lccn.loc.gov/bi95011917,"Mutis, Alvaro ",Colombia,The adventures of Maqroll:four novellas ,Edith Grossman,New York,HarperCollins Publishers ,1995,"Second volume of translation of Columbian-born Mutis' novellas about a seafarer whose ""only true wealth is life"" ({The Washington Post}). Includes translations of four works originally published separately: {Amirbar} (Madrid: Ediciones Siruela, 1990); {La última escala del Tramp Steamer} (see {HLAS 52:3740}); {Abdul Bashur, soñador de navíos} (Madrid: Ediciones Siruela, 1991); and {Tríptico de mar y tierra} (Barcelona: Grupo Editorial Norma, 1993). Grossman's splendid translation renders powerful storytelling into English, ""as natural as it is noble"" ({Atlanta Journal and Constitution}).  [MA]"
https://lccn.loc.gov/bi99008781,"Onetti, Juan Carlos ",Uruguay,Past caring?,Peter Bush ,London,Quartet Books ,1995,"Bush's affecting translation of Onetti's last novel ({Cuando ya no me importe}) immediately draws one into the world of a narrator so desperate for a job that he'll take absolutely anything: ""There is no crust of bread too stale for me."" Information about Onetti and the role of the imaginary Santamaría in his work would have been helpful. [CM]"
https://lccn.loc.gov/bi97013497,"Rebolledo, Francisco ",Mexico,Rasero:a novel ,Helen Lane,Baton Rouge,Louisiana State Univ. Press ,1995,"Translation of {lcub}Rasero{rcub} (1993) received the Pegasus Prize for Literature. Set in 18th-century Europe, Rebolledo's ambitious first novel tells of a young Spaniard in search of wisdom who travels to Paris and experiences the Enlightenment, with all its contradictions. [CM]"
https://lccn.loc.gov/bi96014021,"Saer, Juan José ",Argentina,The event ,Helen Lane,London,Serpent's Tail ,1995,"{La ocasión} (see {HLAS 52:3865}) poeticizes the ebb of consciousness, memory, and perspective as a magician migrates to the {pampas.} Lane's fine translation captures the sweep and tension of the layered syntax that is the hallmark of this Argentine-born author's haunting allegories, although this work received mixed reviews ({The Washington Post,} {Kirkus Reviews}). [MA]"
https://lccn.loc.gov/bi00005918,"Sención, Viriato ",Dominican Republic,They forged the signature of God ,Asa Zatz ,Willimantic ,Curbstone Press ,1995,"{Los que falsificaron la firma de Dios} (1992), a chilling picture of internal politics in the Dominican Republic, became that country's best-selling ever work of fiction. Tracing the lives of three seminarians persecuted by Church and state, allegory and gallows humor portray political power gone awry.  A lively translation, but no introduction. [MA]"
https://lccn.loc.gov/bi97013482,"Taibo, Paco Ignacio ",Spain,Leonardo's bicycle ,Martin Michael Roberts ,New York,Mysterious Press ,1995,"Another entertaining, fast-paced detective story (1996), featuring protagonist José Daniel Fierro. Novel set alternately in today's Mexico City and Ciudad Juárez, Renaissance Italy, and modern Barcelona follows a suspenseful plot combined with political and social commentary. Excellent colloquial translation; no notes. Author's endnote sheds light on some characters and references. [KR]"
https://lccn.loc.gov/bi96014023,"Valenzuela, Luisa ",Argentina,Bedside manners ,Margaret Jull Costa,London,High Risk Books/Serpent's Tail ,1995,"Excellent translation of the Argentine Valenzuela's {lcub}Realidad nacional desde la cama{rcub} (see {lcub}HLAS 54:4160{rcub}), a short, somewhat absurdist novel dealing with the persistence of military dominance in a newly democratic country. Translator does a very good job with local details and dialect. Text is unaccompanied by any supporting material other than a short explicatory note on the flap. [KR]"
https://lccn.loc.gov/bi97010646,"Abad Faciolince, Héctor Joaquín",Colombia,The joy of being awake ,Nathan Budoff ,Cambridge,Lumen ,1996,"Excellent translation of Colombian Abad Faciolince's {Asuntos de un hidalgo disoluto} (see {HLAS 56:3663}). Novel's sometimes black humor reviews life of its elderly protagonist, as dictated to his secretary. Many references to cultural, political, and historical issues in Colombia and Europe. Short biography of author; no other locating material. [KR]"
https://lccn.loc.gov/bi97013481,"Bencastro, Mario ",El Salvador,A shot in the cathedral ,Susan Giersbach Rascón ,Houston,Arte Público Press ,1996,"Prizewinning novel {Disparo en la catedral} follows a San Salvador journalist through an eight-month period leading up to and following Archbishop Romero's assassination. Verbatim texts of Romero's homilies incorporated into text. Bencastro's work as a playwright evident in copious dialogue. Competently translated. No supporting materials, but good for classroom use given historical context. [KR]"
https://lccn.loc.gov/bi2001001813,"Buitrago, Fanny ",Colombia,Señora honeycomb:a novel ,Margaret Sayers Peden ,New York,HarperCollins Publishers ,1996,"Buitrago enjoys an international reputation, but this is the first of her works to be translated into English. Translation is a highly inventive one in which Peden has created a playful, lush language appropriate to the erotic and culinary ambience of original work, {La señora de la miel} (1993). Teachers and students might wish for an introduction to the cultural traditions and society that are the target of Buitrago's irony. [CM]"
https://lccn.loc.gov/bi97000047,"Bullrich, Silvina ",Argentina,"Tomorrow I'll say, Enough ",Julia Shirek Smith ,Pittsburgh ,Latin American Literary Review Press ,1996,"First long work in English by the Argentine Bullrich, published as {Mañana digo basta} (1968). Diary format follows a woman's summer spent alone following her 49th birthday, with reflections on women's roles, art, love, and family. Somewhat dated discussion of lesbianism and sexuality. Competent translation. Short biography of author on back cover. Interesting for classroom use. [KR]"
https://lccn.loc.gov/bi00005832,"Esquivel, Laura ",Mexico,The law of love ,Margaret Sayers Peden ,New York,Crown Publishers ,1996,"Fusion of science fiction and adventure-romance attempts to produce a multimedia ""event"" that narrates through comic-strip panels and period music on accompanying CD (see {lcub}HLAS 56:3484{rcub}). New Age tracts, precolumbian poetry, Puccini arias, and tedious plots never achieve narrative coherence in spite of Peden's adequate translation. [MA]"
https://lccn.loc.gov/bi2001001789,"Gallegos, Rómulo ",Venezuela,Canaima ,Will Kirkland ,Pittsburgh ,Univ. of Pittsburgh Press ,1996,"This new English translation of {Canaima} should be welcomed by all readers of Gallegos. In addition to Kirkland's translation (based on Charles Minguet's 1991 critique of the novel in Spanish), work contains his engaging and provocative translator's essay; an informative introduction by Michael John Doudoroff; essays by five specialists and Venezuelan writers who provide varied perspectives on the novel; and a glossary of terms that readers will find invaluable. [CM]"
https://lccn.loc.gov/bi2001001790,"Kozameh, Alicia ",Argentina,Steps under water:a novel ,David E  Davis ,Berkeley,Univ. of California Press ,1996,"Translation of {Pasos bajo el agua,} with brief introductory notes (dated 1987 and 1996) by author and foreword by Sosnowski, who describes the military dictatorship under which Kozameh lived and was imprisoned. A powerful, moving book in both languages; however, bilingual readers no doubt will miss Kozameh's drawings done during her imprisonment, and may regret the alterations to the original intended to make the book more attractive and accessible to readers in English. [CM]"
https://lccn.loc.gov/bi97004561,"Matto de Turner, Clorinda ",Peru,"Birds without a nest:a novel; a story of Indian life and priestly oppression in Peru,",J G H (1904); amended by Naomi Lindstrom (1996),Austin,Univ. of Texas Press ,1996,"Much-needed new English-language version of {lcub}Aves sin nido{rcub} (1889). Work comprises Lindstrom's excellent introduction to the novel and her emendation of the first English translation (by J.G. Hudson, 1904). Lindstrom explains that she restored and translated author's preface and the other material excised or suppressed by the previous translator; returned chapters to their original order; and, in some instances, made the English more accurate or precise. Highly recommended. [CM]"
https://lccn.loc.gov/bi97009396,"Paso, Fernando del ",Mexico,Palinuro of Mexico ,Elisabeth Plaister ,Normal,Dalkey Archive Press ,1996,"The gargantuan epic of medical student Palinuro's quest for the relationships between knowledge, myth, history, and art as he journeys through the real and imaginary realms of Mexico's cultural body. Original published in 1977 (see {HLAS 42:5203}) and winner of numerous international awards. Translation is inventive and ""reads like hypertext"" ({New York Times Book Review,} 11 Aug. 1996). Lacks the introduction needed to bring its huge dimensions of slapstick and satire within reader's grasp. [MA]"
https://lccn.loc.gov/bi98002536,"Poniatowska, Elena ",Mexico,Tinisima ,Katherine Silver ,New York,Farrar  Straus  and Giroux ,1996,"Long though it is, this English version of {Tinísima}, Poniatowska's novel based closely on the life of Italian photographer Tina Modotti (1896-1942), represents a considerable abridgment of the original. Implicitly, however, the textual recreation is the work of Poniatowska herself, who signs the acknowledgments, thanks Katherine Silver (whose translation is excellent), and writes a new dedication for the book. [CM]"
https://lccn.loc.gov/bi97010644,"Robles, Mireya ",Cuba,Hagiography of Narcisa the beautiful ,Anna Diegel ,Columbia,Readers International ,1996,"Satirical, darkly comic novel set in 1950s Cuba (see {HLAS 48:5405}) depicts a nuclear family through the eyes of Narcisa, the unwanted ugly duckling. Explores inequality inherent in gender roles and oppression of women in Cuban society. Story narrated without paragraph or chapter breaks for entire length; fast-paced translation. Glossary of Cuban terms; author's biographical  note. Excellent text for women's studies classes. [KR]"
https://lccn.loc.gov/bi97013491,"Scorza, Manuel ",Peru,The sleepless rider ,Anna-Marie Aldaz ,New York,P. Lang ,1996,"{El jinete insome} (Barcelona: Monte Avila, 1978) was the third in Scorza's five-novel cycle of indigenous insurrection in Pasco, Peru, that erupted in 1959. Scorza actually witnessed and recorded many of those events and became the spokesperson for peasants, miners, and small landowners that formed the Movimiento Comunal del Perú. In this novel, his fictionalized account of attempts to reclaim community land and establish its boundaries is led by Raymundo Herrera, who also functions as the collective memory of his people, and, like all of Scorza's heroes, is embued with mythic qualities. An informative introduction and competent translation recommend it for classroom use and discussions of modern Peru. [MA]"
https://lccn.loc.gov/bi97010778,"Sepúlveda, Luis ",Chile,The name of a bullfighter ,Suzanne Ruta ,New York,Harcourt Brace ,1996,"Readers may be unfamiliar with Ariel Dorfman and Paco Ignacio Taibo III (with whom Sepúlveda is compared in the brief blurb on the book's cover), but no doubt they easily will become engrossed in the world of {The name of the bullfighter,} thanks to Suzanne Ruta's ability to translate a novel's genre as well as its words. [CM]"
https://lccn.loc.gov/bi00006483,"Skármeta, Antonio ",Chile,Love-fifteen ,Jonathan Tittler ,Pittsburgh ,Latin American Literary Review Press ,1996,"Translation of Chilean author's {Match ball} (see {HLAS 54:4061}), a {Lolita}-esque story of a middle-aged man's obsession with a teenage tennis star. Told in first person, novel's black humor is set among the European upper classes, with cosmopolitan, especially German and Spanish, cultural references. Competent translation by Tittler.  Back-cover notes; no other locating material. [KR]"
https://lccn.loc.gov/bi97009393,"Taibo, Paco Ignacio ",Spain,Return to the same city ,Laura C  Dail ,New York,Mysterious Press ,1996,"{Regreso a la misma ciudad y bajo la lluvia} (1989) is another Héctor Belascoarán Shayne caper in the hilarious series of venality and violence as told by Mexico's favorite one-eyed detective in this wild, {noir} vision of Mexican reality. Dail's translation transmits the inventive dead-pan humor. No supplementary material beyond the jacket. [MA]"
https://lccn.loc.gov/bi97004562,"Ubidia, Abdón ",Ecuador,Wolves' dream ,Mary Ellen Fieweger ,Pittsburgh ,Latin American Literary Review Press ,1996,"{Sueño de lobos} (1986) won the 1986 José Mejía award for the best work of fiction in Ecuador. Set in Quito in early 1980s at the end of the oil boom, four petty cons and an insomniac accountant join forces to plot a bank heist that becomes a nightmare.  Adequate translation, but no introduction. [MA]"
https://lccn.loc.gov/bi00005919,"Vargas Llosa, Mario ",Peru,Death in the Andes ,Edith Grossman,New York,Farrar  Straus  and Giroux ,1996,"In this novel (see {HLAS 56:3743}), simultaneous plot lines ranging from an investigation by Corporal Lituma of a mysterious disappearance, to his deputy's love affair with a prostitute, to an Andean community terrorized by Shining Path guerrillas, and the alternating first- and third-person narrators all obscure coherence. Grossman's lazy translation needlessly retains large doses of original Spanish lexicon. An introduction, maps, and a translator's note are badly needed to orient readers not familiar with Peru. [MA]"
https://lccn.loc.gov/bi2001001357,"Aguilar, Rosario",Nicaragua,The lost chronicles of Terra Firma ,Edward Waters Hood ,Fredonia,White Pine Press ,1997,"A Nicaraguan journalist weaves past and present into a historical novel about the Spanish conquest of Central America from perspective of six women of the period - three Spanish, two Amerindian, and one mestiza - involved in that violent conflict of cultures. Narrator intersperses her own life in the transition from the Sandinistas to the government of Violeta Chamorro with that of her women characters. Skillful feminocentric recreation and a seamless natural translation make a compelling read. First published as {La niña blanca y los pájaros sin pies} (1992). Afterword by Ann González provides context. [MA]"
https://lccn.loc.gov/bi2001004266,"Boullosa, Carmen ",Mexico,"They're cows, we're pigs ",Leland H  Chambers ,New York,Grove Press ,1997,"Translation of {lcub}Son vacas, somos puercos: filibusteros del Mar Caribe{rcub} (see {lcub}HLAS 54:3704{rcub}). Although Spanish subtitle is omitted, author has added informative preface to her picaresque novel. There she also explains that book is retelling of widely retold 17th-century account of buccaneer ""pigs"" and ""cows"" who were loyal to and represented Spanish monarchy (see {lcub}History of the bucaneers of America{rcub} by Burney). This is Boullosa's first book to be translated into English, and some material about her and her work would have been appropriate. [CM]"
https://lccn.loc.gov/bi98002540,"Cerda, Martha ",Mexico,Señora Rodríguez and other worlds ,Sylvia Jiménez-Andersen ,Durham,Duke University Press ,1997,"Cerda's {Señora Rodríguez and other worlds} is a playful, parodic, and often sarcastic tale of a woman, her magical purse, and the other worlds that may or may not be closely linked to the protagonist. Novel or collection of short stories? Both English- and Spanish-language critics  are uncertain. The translator gives no hints either. [CM]"
https://lccn.loc.gov/bi00006484,"Eltit, Diamela ",Chile,E  Luminata ,Ronald Christ ,Santa Fe,Lumen ,1997,"Superb translation of {Lumpérica} (1983). Text of novel is framed by author's foreword and translator's afterword, both of which reflect on the writing of literature under military dictatorship; the novel's metaphoric, poetic narration; and the translator's methods for dealing with the challenges inherent to this work. Important contribution to contemporary literature in translation and a tour-de-force by Christ. [KR]"
https://lccn.loc.gov/bi98002550,"Fuguet, Alberto ",Chile,Bad vibes ,Kristina Cordero ,New York,St. Martin's Press ,1997,"Translation of {lcub}Mala onda{rcub} (see {lcub}HLAS 54:4049{rcub}), Fuguet's first, controversial novel that follows 10 days in the life of an upper-class Chilean teenager at the time of the 1980 referendum on Pinochet's power. Excellent translation captures a youth culture of privilege, drugs, sex, and angst caught in the midst of brutal political forces. No locating materials in volume, although book jacket relates narrative to Chilean politics and history. [KR]"
https://lccn.loc.gov/bi98002544,"Mastretta, Angeles ",Mexico,Lovesick ,Margaret Sayers Peden ,New York,Riverhead Books ,1997,"Set against the backdrop of the Mexican Revolution, this romance knits the passion of a strong, independent woman into the history of a country, much in the manner of the 19th-century {costumbrista} tradition. Which of two men and their opposing paths will she choose?  Peden's seamless translation of the richly detailed prose make for a page-turner. In its first publication under the title {Mal de amores} (1996), work was awarded the 1997 Rómulo Gallegos international prize for fiction. [MA]"
https://lccn.loc.gov/bi98002548,"Mastretta, Angeles ",Mexico,Tear this heart out ,Margaret Sayers Peden ,New York,Riverhead Books ,1997,"Excellent, highly colloquial translation of {Arráncame la vida} (see {HLAS 48:5193}), set in post-revolutionary Mexico. Peden has created a sparkling, irreverent Catalina, Mastretta's first-person protagonist who narrates her coming of age through a marriage to a retired general much older than herself. No background information. For historical introduction, see Ann Wright's translation of this novel, {Mexican bolero} ({HLAS 54:5031}). [CM]"
https://lccn.loc.gov/bi98002546,"Montero, Mayra ",Cuba,In the palm of darkness:a novel ,Edith Grossman,New York,HarperCollins Publishers ,1997,"Translation of {Tú, la oscuridad,} a work by a Cuban-born author now living in Puerto Rico. English-language readers may wish for some background information about Montero or the context of her novel. However, they will find helpful a map of Haiti (not included in Spanish original) that will enable them to follow the protagonist's search for an extinct red frog. [CM]"
https://lccn.loc.gov/bi97015656,"Ramos, Luis Arturo ",Mexico,Within these walls ,Samuel A  Zimmerman ,Pittsburgh ,Latin American Literary Review Press ,1997,"Translation of {lcub}Intramuros{rcub} (see {lcub}HLAS 48:5204{rcub}). Plot explores process of acclimation to a new country through the  lives of two generations of Spanish immigrants to Veracruz. Serious tone and well Zimmerman, work treats questions of memory and time. Very short, locating translator's note; no other locating material. [KR]"
https://lccn.loc.gov/bi99008768,"Restrepo, Laura ",Colombia,The angel of Galilea ,Dolores M  Koch ,New York,Crown Publishers ,1997,"Originally titled {Dulce compañía} (1995), novel set in Bogotá tells the first-person story of a woman journalist's involvement with the people of a poor barrio and the man they call an angel. Ironic, often humorous details of daily life in Colombia combine with passionate descriptions of madness, religion, and love. Excellent translation by Koch. Short author's biography; no other locating material. [KR]"
https://lccn.loc.gov/bi99008776,"Reyes, Luis Eduardo ",Mexico,Modelo antiguo:a novel of Mexico City ,Sharon Franco and Joe Hayes ,El Paso,Cinco Puntos Press ,1997,"Engaging, idiomatic translation of {lcub}Modelo antiguo{rcub} (1992) is first translation into English of work by Mexican playwright, script writer, and novelist Reyes. In this novel, his first-person narrator, a taxi driver, is hired by a fatally ill old woman who wants to be driven around Mexico City so she can die in her car. No ancillary information. [CM]"
https://lccn.loc.gov/bi98002538,"Rodríguez Juliá, Edgardo ",Puerto Rico,The renunciation:a novel ,Andrew Hurley,New York,Four Walls Eight Windows;;UNESCO Pub. ,1997,"Andrew Hurley's fine translation makes available this acclaimed Puerto Rican novelist's {La renuncia del héroe Baltasar} (1974), the fictive chronicles of an arranged marriage plotted to save Puerto Rico from certain slave rebellion. Interspersed lectures, letters, and documents reconstruct conflicts of class and race set in Island's colonial past. Occasional footnotes, but an introduction would have added insights for the nonspecialized reader. [MA]"
https://lccn.loc.gov/bi97017053,"Shua, Ana María ",Argentina,Patient ,David William Foster,Pittsburgh ,Latin American Literary Review Press ,1997,"Appropriately colloquial, idiomatic translation of prolific Argentine writer's novel {Soy paciente.} A humerous satire on the state's health care system, novel may remind readers of Ken Kesey's {One flew over the cuckoo's nest.} No accompanying materials, which is unfortunate since Shua's work is not yet well known in English. [CM]"
https://lccn.loc.gov/bi97010788,"Valdés, Zoé ",Cuba,Yocandra in the paradise of nada:a novel of Cuba ,Sabina Cienfuegos ,New York,Arcade Pub.;;Little  Brown,1997,"Yocandra, the first-person narrator, was born (like Valdés herself) in Havana in 1959. Now a dispirited, outspoken woman living in Cuba, narrator writes of a reality of ""nothing"" that contrasts poignantly with that of a {gusana} friend in Madrid with whom she exchanges letters. This colloquial, idiomatic translation of {La nada cotidiana} reflects work's humor and word play. Brief but helpful translator's notes. [CM]"
https://lccn.loc.gov/bi2001004269,"Aguirre, Nataniel",Bolivia,Juan de la Rosa:memoirs of the last soldier of the independence movement; a novel ,Sergio Gabriel Waisman,New York,Oxford Univ. Press ,1998,"First English translation of the historical novel ({Juan de la Rosa: memorias del último soldado de la independencia}) that constructed Bolivia as a nation. Originally published in {El Heraldo} in Cochabamba in 1885, then as a book in 1909 which this edition closely follows. Col. Juan de la Rosa's memoirs confront 19th-century history of Bolivia and allegorize its passage into modernity. This work was first Bolivian novel that assumed a national reading public that shared the values of the ""Bolivian nation."" Incisive essay by Paz-Soldán contextualizes Andean politics of independence movement (1809-25). Superb translation captures tone and register of early-19th century speech. Especially valuable for reader orientation are notes prepared by the translator for historical Quechua language references. Highly recommended for classroom and scholarly use. [MA]"
https://lccn.loc.gov/bi2001004276,"Andahazi, Federico",Argentina,The anatomist ,Alberto Manguel ,New York,Doubleday ,1998,"In this historical novel (see {lcub}HLAS 58:3751{rcub} for comment on Spanish-language original), a 16th-century physician who tests scores of prostitutes to discover the organ that governs women's sexuality must clear his name of charge of heresy to gain his freedom from imprisonment by the Inquisition. Based on an actual historical case, novel caused a scandal in Buenos Aires when it was a awarded a prize that was then revoked ({lcub}The New York Times,{rcub} May 17, 1997). Manguel captures semilyrical, semisardonic tone of Spanish original, but an introduction for the English-language reader is sorely lacking. [MA]"
https://lccn.loc.gov/bi2003005607,"Argueta, Manlio",El Salvador,Little Red Riding Hood in the red light district:a novel ,Edward Waters Hood ,Willimantic ,Curbstone Press ,1998,"In translator's note, Hood provides biographical and political background necessary for fuller appreciation of this work by Salvadoran author (see {lcub}HLAS 42:5261{rcub}). Argueta's novels have a ""testimonial format"" and reflect conflictive history of his country during 1970s-80s. Here, Argueta creates a mosaic of colliding first-person narratives."
https://lccn.loc.gov/bi2003005608,"Bencastro, Mario ",El Salvador,Odyssey to the north ,Susan Giersbach Rascón ,Houston,Arte Público Press ,1998,"{Odisea del norte} (Houston, Tex.: Arte Público Press, 1999) examines push and pull factors that explain causes of immigration from Central America to US in 1980s, as well as difficulties faced by the new immigrants once they reach Latino barrios in US urban centers. The Salvadoran author, born in 1949, is also a playwright, which explains this novel's emphasis on dialogue and dramatic courtroom scenes involving political refugees. [SFW]"
https://lccn.loc.gov/bi98005980,"Berman, Sabina ",Mexico,Bubbeh ,Andrea G Labinger ,Pittsburgh ,Latin American Literary Review Press ,1998,"Taking the title from Yiddish word for grandmother, this novella ({La bobe} - México: Editorial Planeta Mexicana, 1990) by one of Mexico's most distinguished playwrights and directors weaves together the stories of three generations of women in a Jewish community of Mexico City in 1960s. Labinger's translation of colloquial dialogue is smooth, but there is no introductory material. [MA]"
https://lccn.loc.gov/bi2001004283,"Borinsky, Alicia ",Argentina,Dreams of the abandoned seducer ,Cola Franzen ,Lincoln ,Univ. of Nebraska Press ,1998,"Originally published as {Sueños del seductor abandonado: novela vodevil} (Buenos Aires: Corregidor, 1995). Playful, surreal novel told in very short chapters with whimsical, humorous headings. Loosely woven plot involving several female characters; erotic component; colloquial, colorful language. Convincingly translated with author's collaboration. Short translator's note; brief interview with Borinsky following text. [KR]"
https://lccn.loc.gov/bi2001004284,"Castellanos, Rosario ",Mexico,The book of lamentations ,Esther Allen ,New York,Penguin Books ,1998,"Excellent translation of {Oficio de tinieblas} (México: J. Mortiz, 1962), set in Chiapas, Castellanos' home region. Narration of 19th-century indigenous rebellion, reimagined as 1930s event. Unforgiving portrayal of violence and injustice, and their impact on all social and racial groups concerned. Introduction, glossary, translator's afterword locate author and her work. Outstanding. [KR]"
https://lccn.loc.gov/bi2003005918,"Domecq, Brianda ",United States,The astonishing story of the Saint of Cabora ,Kay S  García ,Tempe,Bilingual Press/Editorial Bilingüe ,1998,"Translation of {La insólita historia de la Santa de Cabora} (see {HLAS 54:3710}). Fictional re-creation, set in late 19th-century Mexico, of the life of Teresa Urrea, famous for healing powers and work with the poor. Political backdrop of social injustice, oppression under Porfirio Díaz's rule. Narration shifts between Teresa's story and that of woman trying to research it in present time. Clearly translated. Very short glossary; back cover note; no other locating information. [KR]"
https://lccn.loc.gov/bi98005065,"Freilich de Segal, Alicia ",Venezuela,Cláper ,Joan E  Friedman ,Albuquerque,Univ. of New Mexico Press ,1998,"Work relates a wide range of Jewish experience in Venezuela through contrasting monologues, one voiced by the father, Max, an Eastern European immigrant; and another by his daughter, a second-generation Venezuelan intellectual. Title is from Yiddish for peddler or ""schlepper,"" as Max describes himself. The brief introduction and smooth translation of the double registers make this a good choice for classroom discussion. [MA]"
